doc_id,status,cache_hit,elapsed_seconds,error
DP-001,success,False,4.701,
DP-002,success,False,4.288,
DP-003,success,False,5.072,
DP-004,success,False,5.458,
DP-005,success,False,7.257,
DP-006,success,False,5.165,
DP-007,success,False,3.085,
BI-001,success,False,4.432,
BI-002,success,False,4.93,
BI-003,success,False,4.178,
BI-004,success,False,4.643,
UN-001,success,False,6.288,
UN-002,success,False,4.61,
UN-003,success,False,4.985,
UN-004,success,False,4.33,
MT-001,success,False,4.175,
MT-002,success,False,4.968,
MT-003,success,False,3.995,
MT-004,success,False,4.515,
MT-005,success,False,5.412,
MT-006,success,False,5.138,
MT-007,success,False,4.166,
MT-008,success,False,4.74,
MT-009,success,False,4.806,
MT-010,success,False,4.102,
MT-011,success,False,3.694,
MT-012,success,False,4.748,
MT-013,success,False,4.277,
MT-014,deterministic_non_content,False,0.0,
MT-015,success,False,4.366,
DA-001,success,False,4.583,
DA-002,success,False,3.633,
DA-003,success,False,5.665,
DA-004,success,False,5.081,
DA-005,success,False,6.11,
DA-006,success,False,5.688,
DA-007,success,False,3.996,
DA-008,success,False,4.184,
HP-001,success,False,4.332,
HP-002,success,False,4.289,
HP-003,success,False,5.818,
HP-004,deterministic_non_content,False,0.0,
MT-010_rule_layer01,success,False,5.992,
MT-010_operation_layer01,success,False,4.525,
